case_id,pair_id,source_type,source_name,channel_id,condition_eligible,candidate_time,window_start,window_end,signal_key,hidden_reference_status,hidden_case_category,hidden_disagreement_type,hidden_expected_recommendation,reference_interval_start,reference_interval_end,peak_height,prominence,local_noise,detectability,weber_boundary,weber_margin,stability,stability_runs,stability_hits,parameter_robustness,parameter_runs,parameter_hits,width_samples,nearest_distance_samples,separation_width_ratio,overlap_flag,duplicate_risk,baseline_drift_score,segment_boundary_distance,evidence_agreement,algorithmic_recommendation,provenance_json,explanation_trial_eligible,pilot_ready
REAL-001,REA-PAIR-07,real,chromatograms.h5,1607,baseline|peakaboo|peakaboo_recommendation,4.53000020980835,4.230000019073486,4.829999923706055,REAL-001,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference,Reject,4.505,4.54166666666667,0.05504854954779148,0.0004176981747150421,3.483447891200764e-05,11.990940463878125,15.96,-3.9690595361218755,1.0,30,30,0.45,20,9,7.700217665511474,51.0,6.623189397414574,False,Low,0.21752617284726689,180,Conflict detected,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 2718, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-002,REA-PAIR-01,real,chromatograms.h5,3328,baseline|peakaboo|peakaboo_recommendation,3.931666612625122,3.631666660308838,4.231666564941406,REAL-002,supported,baseline_drift,unfavorable_algorithm_vs_supported_reference,Reject,3.905,3.94833333333332,0.024673600681126118,0.0004499005153775215,3.709081137815295e-05,12.129702385341112,15.96,-3.830297614658889,0.9333333333333333,30,28,0.6,20,12,9.184131004201049,66.0,7.186308641482788,False,Low,0.2889976482231917,180,Mostly consistent,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 2359, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-003,REA-PAIR-08,real,chromatograms.h5,3419,baseline|peakaboo|peakaboo_recommendation,0.006666666828095913,0.0,0.30666667222976685,REAL-003,unsupported,stable_unsupported,detectability_vs_stability,Reject,,,0.0005473000055644661,0.0004923000051348936,4.054113116816314e-05,12.14322291476348,15.96,-3.81677708523652,1.0,30,30,0.35,20,7,4.74964561420398,11.0,2.315962261922051,False,Low,0.22127354120564902,4,Conflict detected,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 4, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-004,REA-PAIR-01,real,chromatograms.h5,1710,baseline|peakaboo|peakaboo_recommendation,3.861666679382324,3.56166672706604,4.1616668701171875,REAL-004,supported,baseline_drift,unfavorable_algorithm_vs_supported_reference,Reject,3.81833333333333,3.89166666666666,0.04378709942102432,0.0002234000712633133,1.827868731656571e-05,12.22188744587592,15.96,-3.738112554124081,1.0,30,30,0.6,20,12,15.085797202829923,61.0,4.0435383811574175,False,Low,0.3123309341610479,180,Mostly consistent,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 2317, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-005,REA-PAIR-10,real,chromatograms.h5,3273,baseline|peakaboo|peakaboo_recommendation,4.568333148956299,4.268333435058594,4.868333339691162,REAL-005,unsupported,stable_unsupported,favorable_algorithm_vs_unsupported_reference,Accept,,,-0.09245245158672333,0.0009205490350723267,2.9245366225998062e-06,314.7673765448066,15.96,298.80737654480663,1.0,30,30,1.0,20,20,206.6469141502543,inf,inf,False,Low,0.1258598177294443,180,Consistent,Accept,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 2741, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-006,REA-PAIR-12,real,chromatograms.h5,3443,baseline|peakaboo|peakaboo_recommendation,9.106666564941406,8.806666374206543,9.40666675567627,REAL-006,unsupported,stable_unsupported,favorable_algorithm_vs_unsupported_reference,Accept,,,0.049518950283527374,0.006287001073360443,6.687991361085917e-06,940.0431002196352,15.96,924.0831002196352,1.0,30,30,1.0,20,20,172.48692492099008,inf,inf,False,Low,0.06561955910786636,180,Consistent,Accept,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 5464, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-007,REA-PAIR-12,real,chromatograms.h5,3328,baseline|peakaboo|peakaboo_recommendation,9.104999542236328,8.805000305175781,9.404999732971191,REAL-007,unsupported,stable_unsupported,favorable_algorithm_vs_unsupported_reference,Accept,,,0.04961379989981651,0.006073649972677231,6.637498852663537e-06,915.0508636531207,15.96,899.0908636531207,1.0,30,30,1.0,20,20,167.22217501167884,inf,inf,False,Low,0.05873883887271165,180,Consistent,Accept,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 5463, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-008,REA-PAIR-11,real,chromatograms.h5,3394,baseline|peakaboo|peakaboo_recommendation,9.09666633605957,8.796667098999023,9.396666526794434,REAL-008,unsupported,stable_unsupported,favorable_algorithm_vs_unsupported_reference,Accept,,,0.04891270026564598,0.005921449512243271,6.480631870265191e-06,913.7146989783055,15.96,897.7546989783054,1.0,30,30,1.0,20,20,169.27948659236344,inf,inf,False,Low,0.022405477825500383,180,Consistent,Accept,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 5458, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-009,REA-PAIR-04,real,chromatograms.h5,1519,baseline|peakaboo|peakaboo_recommendation,5.085000038146973,4.784999847412109,5.385000228881836,REAL-009,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference,Reject,5.07666666666667,5.12666666666667,0.11904754862189293,0.0002934969961643219,0.0007390703568572006,0.3971164491230075,15.96,-15.562883550876993,0.8666666666666667,30,26,0.25,20,5,4.674651810260656,45.0,9.626385413610265,False,Low,0.4100852055625674,180,Conflict detected,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 3051, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
REAL-010,REA-PAIR-03,real,chromatograms.h5,1589,baseline|peakaboo|peakaboo_recommendation,5.0883331298828125,4.788333415985107,5.388333320617676,REAL-010,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference,Reject,5.07833333333333,5.13333333333332,0.11923544853925705,0.0002648979425430298,0.0006327933386820181,0.4186168310117524,15.96,-15.541383168988249,0.6333333333333333,30,19,0.25,20,5,4.770771948798227,47.0,9.851655141855911,False,Low,0.392670140777039,180,Mostly consistent,Reject,"{""detector_version"": ""peakaboo-study-1.0"", ""matching_tolerance_samples"": 8, ""minimum_distance"": 22, ""noise_window"": 51, ""perturbation_noise_model"": ""Normal(0, local_sigma * scale)"", ""perturbation_runs"": 30, ""perturbation_scale"": 0.55, ""prominence_floor"": 0.00018, ""segment_overlap_points"": 100, ""segment_points"": 500, ""smooth_window"": 2, ""smoothing_method"": ""moving_average"", ""source_label_file"": ""peak_df.xlsx"", ""source_peak_index"": 3053, ""source_time_range"": [0.0, 13.0], ""weber_boundary"": 15.96}",True,True
