session_id,case_id,case_slot,decision_baseline,decision_peakaboo,decision_peakaboo_recommendation,confidence_baseline,confidence_peakaboo,confidence_peakaboo_recommendation,changed_after_evidence,changed_after_ai_peak_mark,changed_from_baseline_to_ai,hidden_reference_status,hidden_case_category,hidden_disagreement_type
13313f9a-3141-4d77-b28b-b8620f18e479,REAL-001,2,3,1,1,89,93,55,1,0,1,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference
13313f9a-3141-4d77-b28b-b8620f18e479,SYN-005,1,1,3,1,75,50,87,1,1,0,supported,near_boundary_supported,detectability_vs_stability
13313f9a-3141-4d77-b28b-b8620f18e479,SYN-013,3,1,1,1,70,72,60,0,0,0,supported,high_detectability_low_stability,unfavorable_algorithm_vs_supported_reference
2b53b17c-752c-4187-8d1c-f380458444c5,REAL-001,2,1,1,1,93,50,50,0,0,0,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference
2b53b17c-752c-4187-8d1c-f380458444c5,REAL-003,3,2,2,1,79,46,71,0,1,1,unsupported,stable_unsupported,detectability_vs_stability
2b53b17c-752c-4187-8d1c-f380458444c5,SYN-006,1,1,1,1,93,89,56,0,0,0,supported,near_boundary_supported,detectability_vs_stability
503410c3-68e7-4660-9086-a79193b23af1,REAL-001,2,1,1,1,93,80,76,0,0,0,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference
503410c3-68e7-4660-9086-a79193b23af1,REAL-003,3,2,2,1,69,73,83,0,1,1,unsupported,stable_unsupported,detectability_vs_stability
503410c3-68e7-4660-9086-a79193b23af1,SYN-007,1,2,2,1,81,83,87,0,1,1,unsupported,near_boundary_unsupported,detectability_vs_stability
80bacd2f-b280-46ae-9ddb-3fc2a5fec135,REAL-001,2,1,1,1,63,59,76,0,0,0,supported,parameter_sensitive,unfavorable_algorithm_vs_supported_reference
80bacd2f-b280-46ae-9ddb-3fc2a5fec135,SYN-005,1,3,3,1,53,45,83,0,1,1,supported,near_boundary_supported,detectability_vs_stability
