section,question_code,response_label,count
background,completed,yes,12
background,role,Analytical scientist,12
comprehension,completed,yes,12
comprehension,score,4/4,12
current_practice,completed,yes,12
final,completed,yes,12
post_baseline,appropriate_reliance,2,4
post_baseline,appropriate_reliance,4,3
post_baseline,appropriate_reliance,5,3
post_baseline,appropriate_reliance,3,2
post_baseline,clarity,2,5
post_baseline,clarity,5,4
post_baseline,clarity,3,2
post_baseline,clarity,4,1
post_baseline,completed,yes,12
post_baseline,mental_effort,2,4
post_baseline,mental_effort,4,3
post_baseline,mental_effort,5,3
post_baseline,mental_effort,3,2
post_baseline,usefulness,3,6
post_baseline,usefulness,5,6
post_peakaboo,appropriate_reliance,4,5
post_peakaboo,appropriate_reliance,5,5
post_peakaboo,appropriate_reliance,3,2
post_peakaboo,clarity,3,6
post_peakaboo,clarity,2,2
post_peakaboo,clarity,4,2
post_peakaboo,clarity,5,2
post_peakaboo,completed,yes,12
post_peakaboo,mental_effort,5,5
post_peakaboo,mental_effort,4,4
post_peakaboo,mental_effort,2,2
post_peakaboo,mental_effort,3,1
post_peakaboo,usefulness,5,5
post_peakaboo,usefulness,4,4
post_peakaboo,usefulness,3,3
post_peakaboo_recommendation,appropriate_reliance,2,4
post_peakaboo_recommendation,appropriate_reliance,4,4
post_peakaboo_recommendation,appropriate_reliance,5,4
post_peakaboo_recommendation,clarity,3,5
post_peakaboo_recommendation,clarity,2,3
post_peakaboo_recommendation,clarity,4,3
post_peakaboo_recommendation,clarity,5,1
post_peakaboo_recommendation,completed,yes,12
post_peakaboo_recommendation,mental_effort,3,5
post_peakaboo_recommendation,mental_effort,2,3
post_peakaboo_recommendation,mental_effort,4,3
post_peakaboo_recommendation,mental_effort,5,1
post_peakaboo_recommendation,usefulness,5,5
post_peakaboo_recommendation,usefulness,4,4
post_peakaboo_recommendation,usefulness,3,3
