id,session_id,section,question_code,response_code,response_label,response_json,created_at
1,ef6afff9-99ca-4808-be2e-709bacf5b1bf,background,role,analytical_scientist,Analytical scientist,"""Analytical scientist""",2026-08-05T16:50:43.084589+00:00
2,ef6afff9-99ca-4808-be2e-709bacf5b1bf,background,completed,yes,yes,"""yes""",2026-08-05T16:50:43.086915+00:00
3,ef6afff9-99ca-4808-be2e-709bacf5b1bf,current_practice,completed,yes,yes,"""yes""",2026-08-05T16:50:43.089326+00:00
4,ef6afff9-99ca-4808-be2e-709bacf5b1bf,comprehension,score,4,4/4,"{""score"": 4, ""total"": 4}",2026-08-05T16:50:43.091561+00:00
5,ef6afff9-99ca-4808-be2e-709bacf5b1bf,comprehension,completed,yes,yes,"""yes""",2026-08-05T16:50:43.093727+00:00
6,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_baseline,usefulness,3,3,3,2026-08-05T16:50:43.123745+00:00
7,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_baseline,clarity,2,2,2,2026-08-05T16:50:43.127237+00:00
8,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_baseline,mental_effort,3,3,3,2026-08-05T16:50:43.129422+00:00
9,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_baseline,appropriate_reliance,3,3,3,2026-08-05T16:50:43.132087+00:00
10,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_baseline,completed,yes,yes,"""yes""",2026-08-05T16:50:43.134302+00:00
11,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_peakaboo,usefulness,5,5,5,2026-08-05T16:50:43.136765+00:00
12,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_peakaboo,clarity,5,5,5,2026-08-05T16:50:43.139205+00:00
13,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_peakaboo,mental_effort,4,4,4,2026-08-05T16:50:43.141767+00:00
14,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_peakaboo,appropriate_reliance,5,5,5,2026-08-05T16:50:43.144570+00:00
15,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_peakaboo,completed,yes,yes,"""yes""",2026-08-05T16:50:43.147293+00:00
16,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_peakaboo_recommendation,usefulness,3,3,3,2026-08-05T16:50:43.150898+00:00
17,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_peakaboo_recommendation,clarity,2,2,2,2026-08-05T16:50:43.153011+00:00
18,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_peakaboo_recommendation,mental_effort,4,4,4,2026-08-05T16:50:43.155125+00:00
19,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_peakaboo_recommendation,appropriate_reliance,2,2,2,2026-08-05T16:50:43.157184+00:00
20,ef6afff9-99ca-4808-be2e-709bacf5b1bf,post_peakaboo_recommendation,completed,yes,yes,"""yes""",2026-08-05T16:50:43.166547+00:00
21,ef6afff9-99ca-4808-be2e-709bacf5b1bf,final,completed,yes,yes,"""yes""",2026-08-05T16:50:43.168702+00:00
22,e9459b53-bfb9-4fc4-b403-b8a39c922921,background,role,analytical_scientist,Analytical scientist,"""Analytical scientist""",2026-08-05T16:50:43.193115+00:00
23,e9459b53-bfb9-4fc4-b403-b8a39c922921,background,completed,yes,yes,"""yes""",2026-08-05T16:50:43.195408+00:00
24,e9459b53-bfb9-4fc4-b403-b8a39c922921,current_practice,completed,yes,yes,"""yes""",2026-08-05T16:50:43.198242+00:00
25,e9459b53-bfb9-4fc4-b403-b8a39c922921,comprehension,score,4,4/4,"{""score"": 4, ""total"": 4}",2026-08-05T16:50:43.200868+00:00
26,e9459b53-bfb9-4fc4-b403-b8a39c922921,comprehension,completed,yes,yes,"""yes""",2026-08-05T16:50:43.203510+00:00
27,e9459b53-bfb9-4fc4-b403-b8a39c922921,post_baseline,usefulness,3,3,3,2026-08-05T16:50:43.228813+00:00
28,e9459b53-bfb9-4fc4-b403-b8a39c922921,post_baseline,clarity,3,3,3,2026-08-05T16:50:43.230859+00:00
29,e9459b53-bfb9-4fc4-b403-b8a39c922921,post_baseline,mental_effort,4,4,4,2026-08-05T16:50:43.232819+00:00
30,e9459b53-bfb9-4fc4-b403-b8a39c922921,post_baseline,appropriate_reliance,4,4,4,2026-08-05T16:50:43.234735+00:00
31,e9459b53-bfb9-4fc4-b403-b8a39c922921,post_baseline,completed,yes,yes,"""yes""",2026-08-05T16:50:43.238195+00:00
32,e9459b53-bfb9-4fc4-b403-b8a39c922921,post_peakaboo,usefulness,4,4,4,2026-08-05T16:50:43.240543+00:00
33,e9459b53-bfb9-4fc4-b403-b8a39c922921,post_peakaboo,clarity,4,4,4,2026-08-05T16:50:43.242993+00:00
34,e9459b53-bfb9-4fc4-b403-b8a39c922921,post_peakaboo,mental_effort,5,5,5,2026-08-05T16:50:43.245785+00:00
35,e9459b53-bfb9-4fc4-b403-b8a39c922921,post_peakaboo,appropriate_reliance,3,3,3,2026-08-05T16:50:43.248973+00:00
36,e9459b53-bfb9-4fc4-b403-b8a39c922921,post_peakaboo,completed,yes,yes,"""yes""",2026-08-05T16:50:43.252818+00:00
37,e9459b53-bfb9-4fc4-b403-b8a39c922921,post_peakaboo_recommendation,usefulness,5,5,5,2026-08-05T16:50:43.256326+00:00
38,e9459b53-bfb9-4fc4-b403-b8a39c922921,post_peakaboo_recommendation,clarity,4,4,4,2026-08-05T16:50:43.258899+00:00
39,e9459b53-bfb9-4fc4-b403-b8a39c922921,post_peakaboo_recommendation,mental_effort,2,2,2,2026-08-05T16:50:43.268950+00:00
40,e9459b53-bfb9-4fc4-b403-b8a39c922921,post_peakaboo_recommendation,appropriate_reliance,4,4,4,2026-08-05T16:50:43.272433+00:00
